Semana,Etapa,Responsable,Fecha compromiso,Fecha real cierre,Estado,Porcentaje,Semaforo,Evidencia,Bloqueo,Plan de accion
1,Aprobacion del ciclo,,,,No iniciado,0,Rojo,,,
1,Asignacion de responsables,,,,No iniciado,0,Rojo,,,
1,Carga de informacion,,,,No iniciado,0,Rojo,,,
1,Revision de jefatura,,,,No iniciado,0,Rojo,,,
1,Envio formal,,,,No iniciado,0,Rojo,,,
1,Recepcion evaluador,,,,No iniciado,0,Rojo,,,
2,Aprobacion del ciclo,,,,No iniciado,0,Rojo,,,
2,Asignacion de responsables,,,,No iniciado,0,Rojo,,,
2,Carga de informacion,,,,No iniciado,0,Rojo,,,
2,Revision de jefatura,,,,No iniciado,0,Rojo,,,
2,Envio formal,,,,No iniciado,0,Rojo,,,
2,Recepcion evaluador,,,,No iniciado,0,Rojo,,,
